collection,id
comunes,s00703
comunes,s00706
comunes,s00709
comunes,s00704
comunes,s00702
comunes,s00707
comunes,s00710
comunes,s00705
comunes,s00701
individuales,s00716
individuales,s00742
individuales,s00708
individuales,s00703
individuales,s00737
individuales,s00720
individuales,s00714
individuales,s00730
individuales,s00744
individuales,s00719
individuales,s00706
individuales,s00722
individuales,s00709
individuales,s00739
individuales,s00734
individuales,s00731
individuales,s00715
individuales,s00724
individuales,s00745
individuales,s00729
individuales,s00738
individuales,s00704
individuales,s00713
individuales,s00750
individuales,s00748
individuales,s00728
individuales,s00711
individuales,s00702
individuales,s00721
individuales,s00736
individuales,s00707
individuales,s00727
individuales,s00740
individuales,s00747
individuales,s00743
individuales,s00735
individuales,s00723
individuales,s00712
individuales,s00733
individuales,s00717
individuales,s00718
individuales,s00710
individuales,s00746
individuales,s00732
individuales,s00705
individuales,s00726
individuales,s00741
individuales,s00725
individuales,s00749
individuales,s00701
comunes,s04405
comunes,s04402
comunes,s04403
comunes,s04407
comunes,s04410
comunes,s04409
comunes,s04408
comunes,s04401
comunes,s04406
comunes,s04404
individuales,s04405
individuales,s04418
individuales,s04402
individuales,s04441
individuales,s04445
individuales,s04450
individuales,s04419
individuales,s04412
individuales,s04438
individuales,s04403
individuales,s04422
individuales,s04414
individuales,s04426
individuales,s04431
individuales,s04432
individuales,s04423
individuales,s04407
individuales,s04429
individuales,s04415
individuales,s04410
individuales,s04416
individuales,s04413
individuales,s04428
individuales,s04409
individuales,s04434
individuales,s04437
individuales,s04411
individuales,s04408
individuales,s04430
individuales,s04433
individuales,s04447
individuales,s04425
individuales,s04421
individuales,s04446
individuales,s04435
individuales,s04427
individuales,s04449
individuales,s04401
individuales,s04436
individuales,s04440
individuales,s04442
individuales,s04439
individuales,s04448
individuales,s04420
individuales,s04443
individuales,s04444
individuales,s04424
individuales,s04417
individuales,s04406
individuales,s04404
comunes,s06606
comunes,s06610
comunes,s06604
comunes,s06609
comunes,s06603
comunes,s06601
comunes,s06605
comunes,s06607
comunes,s06608
comunes,s06602
individuales,s06606
individuales,s06610
individuales,s06619
individuales,s06647
individuales,s06616
individuales,s06631
individuales,s06650
individuales,s06604
individuales,s06649
individuales,s06628
individuales,s06622
individuales,s06635
individuales,s06646
individuales,s06629
individuales,s06624
individuales,s06643
individuales,s06632
individuales,s06639
individuales,s06634
individuales,s06611
individuales,s06614
individuales,s06609
individuales,s06638
individuales,s06612
individuales,s06615
individuales,s06642
individuales,s06641
individuales,s06637
individuales,s06620
individuales,s06623
individuales,s06633
individuales,s06603
individuales,s06601
individuales,s06613
individuales,s06636
individuales,s06630
individuales,s06621
individuales,s06640
individuales,s06605
individuales,s06645
individuales,s06626
individuales,s06607
individuales,s06618
individuales,s06648
individuales,s06608
individuales,s06627
individuales,s06625
individuales,s06644
individuales,s06602
individuales,s06617
comunes,s04910
comunes,s04902
comunes,s04904
comunes,s04908
comunes,s04905
comunes,s04909
comunes,s04907
comunes,s04903
comunes,s04901
comunes,s04906
individuales,s04914
individuales,s04912
individuales,s04948
individuales,s04911
individuales,s04944
individuales,s04915
individuales,s04932
individuales,s04928
individuales,s04910
individuales,s04936
individuales,s04913
individuales,s04924
individuales,s04945
individuales,s04925
individuales,s04942
individuales,s04920
individuales,s04918
individuales,s04902
individuales,s04904
individuales,s04908
individuales,s04905
individuales,s04933
individuales,s04923
individuales,s04939
individuales,s04931
individuales,s04917
individuales,s04949
individuales,s04934
individuales,s04921
individuales,s04935
individuales,s04909
individuales,s04919
individuales,s04941
individuales,s04927
individuales,s04907
individuales,s04929
individuales,s04938
individuales,s04903
individuales,s04922
individuales,s04947
individuales,s04916
individuales,s04930
individuales,s04950
individuales,s04943
individuales,s04940
individuales,s04946
individuales,s04901
individuales,s04926
individuales,s04906
individuales,s04937
comunes,s03303
comunes,s03310
comunes,s03302
comunes,s03301
comunes,s03307
comunes,s03305
comunes,s03308
comunes,s03304
comunes,s03306
comunes,s03309
individuales,s03327
individuales,s03338
individuales,s03339
individuales,s03329
individuales,s03341
individuales,s03350
individuales,s03342
individuales,s03315
individuales,s03314
individuales,s03330
individuales,s03303
individuales,s03347
individuales,s03334
individuales,s03310
individuales,s03340
individuales,s03324
individuales,s03302
individuales,s03336
individuales,s03322
individuales,s03346
individuales,s03320
individuales,s03301
individuales,s03326
individuales,s03325
individuales,s03328
individuales,s03307
individuales,s03316
individuales,s03343
individuales,s03305
individuales,s03337
individuales,s03335
individuales,s03318
individuales,s03313
individuales,s03321
individuales,s03308
individuales,s03317
individuales,s03304
individuales,s03348
individuales,s03332
individuales,s03306
individuales,s03309
individuales,s03345
individuales,s03319
individuales,s03323
individuales,s03331
individuales,s03349
individuales,s03344
individuales,s03333
individuales,s03311
individuales,s03312
comunes,s04105
comunes,s04107
comunes,s04103
comunes,s04104
comunes,s04109
comunes,s04106
comunes,s04101
comunes,s04102
comunes,s04110
comunes,s04108
individuales,s04121
individuales,s04105
individuales,s04107
individuales,s04148
individuales,s04147
individuales,s04120
individuales,s04137
individuales,s04142
individuales,s04143
individuales,s04113
individuales,s04122
individuales,s04132
individuales,s04135
individuales,s04103
individuales,s04150
individuales,s04111
individuales,s04136
individuales,s04112
individuales,s04139
individuales,s04124
individuales,s04123
individuales,s04130
individuales,s04141
individuales,s04134
individuales,s04104
individuales,s04109
individuales,s04106
individuales,s04127
individuales,s04149
individuales,s04126
individuales,s04128
individuales,s04118
individuales,s04101
individuales,s04144
individuales,s04131
individuales,s04125
individuales,s04119
individuales,s04140
individuales,s04145
individuales,s04115
individuales,s04102
individuales,s04146
individuales,s04110
individuales,s04116
individuales,s04133
individuales,s04108
individuales,s04114
individuales,s04129
individuales,s04138
individuales,s04117
comunes,s04503
comunes,s04509
comunes,s04504
comunes,s04507
comunes,s04505
comunes,s04502
comunes,s04501
comunes,s04510
comunes,s04506
comunes,s04508
individuales,s04526
individuales,s04524
individuales,s04543
individuales,s04529
individuales,s04503
individuales,s04549
individuales,s04509
individuales,s04523
individuales,s04514
individuales,s04535
individuales,s04541
individuales,s04504
individuales,s04546
individuales,s04525
individuales,s04507
individuales,s04530
individuales,s04545
individuales,s04521
individuales,s04531
individuales,s04520
individuales,s04517
individuales,s04527
individuales,s04528
individuales,s04534
individuales,s04505
individuales,s04512
individuales,s04544
individuales,s04537
individuales,s04516
individuales,s04515
individuales,s04533
individuales,s04511
individuales,s04522
individuales,s04502
individuales,s04501
individuales,s04536
individuales,s04542
individuales,s04510
individuales,s04538
individuales,s04513
individuales,s04548
individuales,s04550
individuales,s04547
individuales,s04506
individuales,s04532
individuales,s04518
individuales,s04539
individuales,s04519
individuales,s04508
individuales,s04540
comunes,s04807
comunes,s04805
comunes,s04804
comunes,s04810
comunes,s04802
comunes,s04806
comunes,s04803
comunes,s04808
comunes,s04801
comunes,s04809
individuales,s04850
individuales,s04839
individuales,s04828
individuales,s04838
individuales,s04835
individuales,s04847
individuales,s04817
individuales,s04807
individuales,s04805
individuales,s04811
individuales,s04842
individuales,s04849
individuales,s04843
individuales,s04831
individuales,s04804
individuales,s04834
individuales,s04841
individuales,s04810
individuales,s04836
individuales,s04848
individuales,s04829
individuales,s04832
individuales,s04802
individuales,s04846
individuales,s04840
individuales,s04815
individuales,s04827
individuales,s04818
individuales,s04830
individuales,s04825
individuales,s04823
individuales,s04806
individuales,s04819
individuales,s04837
individuales,s04803
individuales,s04820
individuales,s04808
individuales,s04821
individuales,s04824
individuales,s04826
individuales,s04814
individuales,s04816
individuales,s04822
individuales,s04801
individuales,s04813
individuales,s04812
individuales,s04809
individuales,s04833
individuales,s04844
individuales,s04845
comunes,s08210
comunes,s08208
comunes,s08202
comunes,s08103
comunes,s08207
comunes,s08204
comunes,s08205
comunes,s08201
comunes,s08209
comunes,s08206
individuales,s08210
individuales,s08239
individuales,s08234
individuales,s08221
individuales,s08230
individuales,s08229
individuales,s08217
individuales,s08208
individuales,s08247
individuales,s08232
individuales,s08225
individuales,s08202
individuales,s08246
individuales,s08215
individuales,s08243
individuales,s08233
individuales,s08207
individuales,s08204
individuales,s08218
individuales,s08216
individuales,s08220
individuales,s08205
individuales,s08224
individuales,s08249
individuales,s08250
individuales,s08214
individuales,s08235
individuales,s08226
individuales,s08203
individuales,s08227
individuales,s08236
individuales,s08240
individuales,s08219
individuales,s08222
individuales,s08201
individuales,s08238
individuales,s08213
individuales,s08248
individuales,s08209
individuales,s08228
individuales,s08241
individuales,s08245
individuales,s08212
individuales,s08211
individuales,s08231
individuales,s08206
individuales,s08223
individuales,s08242
individuales,s08244
individuales,s08237
comunes,s02405
comunes,s02406
comunes,s02408
comunes,s02402
comunes,s02410
comunes,s02404
comunes,s02409
comunes,s02401
comunes,s02403
comunes,s02407
individuales,s02430
individuales,s02437
individuales,s02405
individuales,s02446
individuales,s02431
individuales,s02449
individuales,s02440
individuales,s02441
individuales,s02435
individuales,s02411
individuales,s02439
individuales,s02418
individuales,s02406
individuales,s02426
individuales,s02433
individuales,s02447
individuales,s02422
individuales,s02450
individuales,s02448
individuales,s02432
individuales,s02408
individuales,s02414
individuales,s02423
individuales,s02402
individuales,s02413
individuales,s02443
individuales,s02445
individuales,s02419
individuales,s02416
individuales,s02424
individuales,s02428
individuales,s02412
individuales,s02429
individuales,s02415
individuales,s02410
individuales,s02404
individuales,s02409
individuales,s02436
individuales,s02444
individuales,s02421
individuales,s02420
individuales,s02417
individuales,s02427
individuales,s02401
individuales,s02442
individuales,s02403
individuales,s02434
individuales,s02438
individuales,s02425
individuales,s02407
comunes,s05204
comunes,s05205
comunes,s05209
comunes,s05202
comunes,s05203
comunes,s05207
comunes,s05206
comunes,s05210
comunes,s05201
comunes,s05208
individuales,s05204
individuales,s05232
individuales,s05228
individuales,s05245
individuales,s05223
individuales,s05249
individuales,s05227
individuales,s05211
individuales,s05241
individuales,s05214
individuales,s05217
individuales,s05215
individuales,s05247
individuales,s05221
individuales,s05236
individuales,s05226
individuales,s05248
individuales,s05234
individuales,s05233
individuales,s05231
individuales,s05244
individuales,s05240
individuales,s05205
individuales,s05216
individuales,s05209
individuales,s05239
individuales,s05243
individuales,s05235
individuales,s05224
individuales,s05246
individuales,s05229
individuales,s05225
individuales,s05202
individuales,s05230
individuales,s05203
individuales,s05237
individuales,s05219
individuales,s05213
individuales,s05220
individuales,s05222
individuales,s05207
individuales,s05242
individuales,s05250
individuales,s05206
individuales,s05212
individuales,s05218
individuales,s05210
individuales,s05201
individuales,s05238
individuales,s05208
comunes,s06903
comunes,s06904
comunes,s06906
comunes,s06910
comunes,s06902
comunes,s06905
comunes,s06901
comunes,s06908
comunes,s06909
comunes,s06907
individuales,s06903
individuales,s06947
individuales,s06942
individuales,s06904
individuales,s06940
individuales,s06921
individuales,s06911
individuales,s06913
individuales,s06944
individuales,s06917
individuales,s06930
individuales,s06927
individuales,s06915
individuales,s06918
individuales,s06922
individuales,s06934
individuales,s06935
individuales,s06906
individuales,s06949
individuales,s06946
individuales,s06910
individuales,s06943
individuales,s06928
individuales,s06902
individuales,s06929
individuales,s06925
individuales,s06905
individuales,s06936
individuales,s06939
individuales,s06937
individuales,s06932
individuales,s06923
individuales,s06950
individuales,s06945
individuales,s06912
individuales,s06941
individuales,s06901
individuales,s06920
individuales,s06948
individuales,s06908
individuales,s06933
individuales,s06926
individuales,s06919
individuales,s06916
individuales,s06909
individuales,s06938
individuales,s06907
individuales,s06914
individuales,s06924
individuales,s06931
comunes,s06103
comunes,s06107
comunes,s06109
comunes,s06104
comunes,s06108
comunes,s06102
comunes,s06106
comunes,s06105
comunes,s06101
comunes,s06110
individuales,s06129
individuales,s06118
individuales,s06144
individuales,s06103
individuales,s06130
individuales,s06146
individuales,s06143
individuales,s06107
individuales,s06117
individuales,s06114
individuales,s06136
individuales,s06121
individuales,s06135
individuales,s06125
individuales,s06109
individuales,s06145
individuales,s06123
individuales,s06141
individuales,s06134
individuales,s06150
individuales,s06115
individuales,s06116
individuales,s06147
individuales,s06126
individuales,s06128
individuales,s06104
individuales,s06124
individuales,s06133
individuales,s06127
individuales,s06113
individuales,s06108
individuales,s06102
individuales,s06120
individuales,s06131
individuales,s06106
individuales,s06139
individuales,s06138
individuales,s06105
individuales,s06149
individuales,s06142
individuales,s06122
individuales,s06119
individuales,s06140
individuales,s06112
individuales,s06111
individuales,s06137
individuales,s06101
individuales,s06110
individuales,s06148
individuales,s06132
comunes,s10004
comunes,s10001
comunes,s10005
comunes,s10010
comunes,s10006
comunes,s10009
comunes,s10002
comunes,s10003
comunes,s10008
comunes,s10007
individuales,s10004
individuales,s10041
individuales,s10028
individuales,s10013
individuales,s10023
individuales,s10001
individuales,s10043
individuales,s10005
individuales,s10025
individuales,s10022
individuales,s10021
individuales,s10016
individuales,s10044
individuales,s10024
individuales,s10046
individuales,s10038
individuales,s10042
individuales,s10036
individuales,s10039
individuales,s10019
individuales,s10018
individuales,s10034
individuales,s10010
individuales,s10048
individuales,s10035
individuales,s10030
individuales,s10006
individuales,s10027
individuales,s10020
individuales,s10029
individuales,s10026
individuales,s10014
individuales,s10012
individuales,s10017
individuales,s10050
individuales,s10009
individuales,s10011
individuales,s10047
individuales,s10033
individuales,s10002
individuales,s10049
individuales,s10003
individuales,s10037
individuales,s10015
individuales,s10031
individuales,s10045
individuales,s10008
individuales,s10032
individuales,s10040
individuales,s10007
comunes,s02210
comunes,s02201
comunes,s02206
comunes,s02205
comunes,s02202
comunes,s02208
comunes,s02207
comunes,s02203
comunes,s02204
comunes,s02209
individuales,s02241
individuales,s02210
individuales,s02237
individuales,s02201
individuales,s02212
individuales,s02206
individuales,s02244
individuales,s02235
individuales,s02205
individuales,s02224
individuales,s02221
individuales,s02232
individuales,s02202
individuales,s02222
individuales,s02242
individuales,s02231
individuales,s02216
individuales,s02218
individuales,s02229
individuales,s02226
individuales,s02208
individuales,s02220
individuales,s02236
individuales,s02219
individuales,s02249
individuales,s02227
individuales,s02225
individuales,s02214
individuales,s02211
individuales,s02223
individuales,s02207
individuales,s02240
individuales,s02239
individuales,s02234
individuales,s02203
individuales,s02248
individuales,s02204
individuales,s02243
individuales,s02230
individuales,s02233
individuales,s02209
individuales,s02246
individuales,s02245
individuales,s02250
individuales,s02247
individuales,s02238
individuales,s02215
individuales,s02217
individuales,s02228
individuales,s02213
comunes,s03008
comunes,s03005
comunes,s03002
comunes,s03006
comunes,s03009
comunes,s03010
comunes,s03001
comunes,s03003
